FIPS,Admin2,Province_State,Combined_Key,Population,Confirmed,Confirmed per 100K,Deaths,Deaths per 100K
"""50017""",Orange,Vermont,"Orange, Vermont, US",28892,14,48.45632008860584,0,0.0
"""50019""",Orleans,Vermont,"Orleans, Vermont, US",27037,14,51.78089285053815,0,0.0
"""50021""",Rutland,Vermont,"Rutland, Vermont, US",58191,99,170.12940145383308,1,1.7184788025639703
"""50023""",Washington,Vermont,"Washington, Vermont, US",58409,53,90.73944083959664,2,3.4241298430036466
"""50025""",Windham,Vermont,"Windham, Vermont, US",42222,102,241.58021884325706,3,7.105300554213443
"""50027""",Windsor,Vermont,"Windsor, Vermont, US",55062,72,130.76168682576005,2,3.6322690784933345
"""51001""",Accomack,Virginia,"Accomack, Virginia, US",32316,1095,3388.4144077237283,16,49.51107810372571
"""51003""",Albemarle,Virginia,"Albemarle, Virginia, US",109330,833,761.913472971737,16,14.634592518064576
"""51005""",Alleghany,Virginia,"Alleghany, Virginia, US",14860,62,417.22745625841185,4,26.917900403768503
"""51007""",Amelia,Virginia,"Amelia, Virginia, US",13145,79,600.988969189806,2,15.214910612400152
"""51009""",Amherst,Virginia,"Amherst, Virginia, US",31605,165,522.0692928334124,0,0.0
"""51011""",Appomattox,Virginia,"Appomattox, Virginia, US",15911,84,527.9366476022877,0,0.0
"""51013""",Arlington,Virginia,"Arlington, Virginia, US",236842,3062,1292.8450190422307,135,57.00002533334459
"""51015""",Augusta,Virginia,"Augusta, Virginia, US",75558,275,363.9588130972233,4,5.293946372323249
"""51017""",Bath,Virginia,"Bath, Virginia, US",4147,4,96.45526886906198,0,0.0
"""51019""",Bedford,Virginia,"Bedford, Virginia, US",78997,347,439.2571869817842,7,8.861095990987
"""51021""",Bland,Virginia,"Bland, Virginia, US",6280,11,175.15923566878982,0,0.0
"""51023""",Botetourt,Virginia,"Botetourt, Virginia, US",33419,212,634.3696699482331,7,20.946168347347317
"""51025""",Brunswick,Virginia,"Brunswick, Virginia, US",16231,227,1398.558314336763,2,12.322099685786457
"""51027""",Buchanan,Virginia,"Buchanan, Virginia, US",21004,77,366.596838697391,0,0.0
"""51029""",Buckingham,Virginia,"Buckingham, Virginia, US",17148,605,3528.108234196408,8,46.652670865407046
"""51031""",Campbell,Virginia,"Campbell, Virginia, US",54885,206,375.3302359478911,2,3.6439828732804957
"""51033""",Caroline,Virginia,"Caroline, Virginia, US",30725,206,670.4637917005696,5,16.273393002441008
"""51035""",Carroll,Virginia,"Carroll, Virginia, US",29791,327,1097.6469403511128,13,43.637340136282766
"""51036""",Charles City,Virginia,"Charles City, Virginia, US",6963,52,746.8045382737325,5,71.80812868016659
"""51037""",Charlotte,Virginia,"Charlotte, Virginia, US",11880,53,446.12794612794613,0,0.0
"""51041""",Chesterfield,Virginia,"Chesterfield, Virginia, US",352802,4350,1232.9862075611816,80,22.675608414918283
"""51043""",Clarke,Virginia,"Clarke, Virginia, US",14619,71,485.66933442779947,0,0.0
"""51045""",Craig,Virginia,"Craig, Virginia, US",5131,17,331.319430910154,0,0.0
"""51047""",Culpeper,Virginia,"Culpeper, Virginia, US",52605,996,1893.356144853151,12,22.81151981750784
"""51049""",Cumberland,Virginia,"Cumberland, Virginia, US",9932,76,765.2033830044302,0,0.0
"""51051""",Dickenson,Virginia,"Dickenson, Virginia, US",14318,40,279.3686269031988,1,6.984215672579969
"""51053""",Dinwiddie,Virginia,"Dinwiddie, Virginia, US",28544,217,760.2298206278027,7,24.52354260089686
"""51057""",Essex,Virginia,"Essex, Virginia, US",10953,99,903.861955628595,1,9.12991874372318
"""51059""",Fairfax,Virginia,"Fairfax, Virginia, US",1147532,16302,1420.6139785208604,529,46.09893231735586
"""51061""",Fauquier,Virginia,"Fauquier, Virginia, US",71222,614,862.0931734576394,9,12.636544887815562
"""51063""",Floyd,Virginia,"Floyd, Virginia, US",15749,57,361.9277414439012,2,12.69921899803162
"""51065""",Fluvanna,Virginia,"Fluvanna, Virginia, US",27270,188,689.4022735606893,9,33.00330033003301
"""51067""",Franklin,Virginia,"Franklin, Virginia, US",56042,168,299.77516862353235,1,1.784376003711502
"""51069""",Frederick,Virginia,"Frederick, Virginia, US",89313,680,761.36732614513,9,10.07692049309731
"""51071""",Giles,Virginia,"Giles, Virginia, US",16720,23,137.55980861244018,0,0.0
"""51073""",Gloucester,Virginia,"Gloucester, Virginia, US",37348,156,417.69304915925886,2,5.35503909178537
"""51075""",Goochland,Virginia,"Goochland, Virginia, US",23753,161,677.8091188481455,7,29.469961689049804
"""51077""",Grayson,Virginia,"Grayson, Virginia, US",15550,152,977.4919614147909,5,32.154340836012864
"""51079""",Greene,Virginia,"Greene, Virginia, US",19819,154,777.032140874918,2,10.091326504869064
"""51081""",Greensville,Virginia,"Greensville, Virginia, US",11336,463,4084.333098094566,11,97.03599153140438
"""51083""",Halifax,Virginia,"Halifax, Virginia, US",33911,153,451.1810327032527,1,2.9488956385833505
"""51085""",Hanover,Virginia,"Hanover, Virginia, US",107766,641,594.8072675983149,32,29.693966557170167
"""51087""",Henrico,Virginia,"Henrico, Virginia, US",330818,3839,1160.456807066121,184,55.61970630376823
"""51089""",Henry,Virginia,"Henry, Virginia, US",50557,579,1145.2420040746088,7,13.845758253060902
"""51091""",Highland,Virginia,"Highland, Virginia, US",2190,6,273.972602739726,0,0.0
"""51093""",Isle of Wight,Virginia,"Isle of Wight, Virginia, US",37109,383,1032.094640114258,9,24.25287666064836
"""51095""",James City,Virginia,"James City, Virginia, US",76523,602,786.6915829227813,16,20.908746389974258
"""51097""",King and Queen,Virginia,"King and Queen, Virginia, US",7025,39,555.1601423487544,1,14.234875444839856
"""51099""",King George,Virginia,"King George, Virginia, US",26836,141,525.4136234908332,4,14.905351021016545
"""51101""",King William,Virginia,"King William, Virginia, US",17148,87,507.34779566130163,2,11.663167716351762
"""51103""",Lancaster,Virginia,"Lancaster, Virginia, US",10603,36,339.52654908988023,0,0.0
"""51105""",Lee,Virginia,"Lee, Virginia, US",23423,114,486.7011057507578,1,4.269307945182086
"""51107""",Loudoun,Virginia,"Loudoun, Virginia, US",413538,5254,1270.4999298734335,115,27.808810798523957
"""51109""",Louisa,Virginia,"Louisa, Virginia, US",37591,182,484.1584421803091,2,5.320422441541858
"""51111""",Lunenburg,Virginia,"Lunenburg, Virginia, US",12196,62,508.36339783535584,1,8.199409642505739
"""51113""",Madison,Virginia,"Madison, Virginia, US",13261,68,512.7818414900837,1,7.540909433677702
"""51115""",Mathews,Virginia,"Mathews, Virginia, US",8834,18,203.75820692777904,0,0.0
"""51117""",Mecklenburg,Virginia,"Mecklenburg, Virginia, US",30587,440,1438.519632523621,32,104.61960963808153
"""51119""",Middlesex,Virginia,"Middlesex, Virginia, US",10582,37,349.65034965034965,1,9.45000945000945
"""51121""",Montgomery,Virginia,"Montgomery, Virginia, US",98535,301,305.47521185365605,3,3.0446034404018874
"""51125""",Nelson,Virginia,"Nelson, Virginia, US",14930,45,301.4065639651708,0,0.0
"""51127""",New Kent,Virginia,"New Kent, Virginia, US",23091,127,549.9978346541943,1,4.330691611450349
"""51131""",Northampton,Virginia,"Northampton, Virginia, US",11710,296,2527.7540563620837,29,247.65157984628522
"""51133""",Northumberland,Virginia,"Northumberland, Virginia, US",12095,71,587.0194295163291,2,16.535758577924764
"""51135""",Nottoway,Virginia,"Nottoway, Virginia, US",15232,182,1194.8529411764705,13,85.34663865546219
"""51137""",Orange,Virginia,"Orange, Virginia, US",37051,231,623.4649537124504,3,8.096947450811045
"""51139""",Page,Virginia,"Page, Virginia, US",23902,343,1435.0263576269767,24,100.41000753075056
"""51141""",Patrick,Virginia,"Patrick, Virginia, US",17608,154,874.602453430259,4,22.716946842344388
"""51143""",Pittsylvania,Virginia,"Pittsylvania, Virginia, US",60354,424,702.5217881167777,2,3.3137820194187624
"""51145""",Powhatan,Virginia,"Powhatan, Virginia, US",29652,144,485.6333468231485,4,13.489815189531905
"""51147""",Prince Edward,Virginia,"Prince Edward, Virginia, US",22802,411,1802.473467239716,10,43.85580212262082
"""51149""",Prince George,Virginia,"Prince George, Virginia, US",38353,380,990.7960263864627,2,5.214715928349803
"""51153""",Prince William,Virginia,"Prince William, Virginia, US",470335,9428,2004.5286869996917,176,37.42013671106764
